pulse_id,pulse_start_idx,pulse_end_idx,window_start_idx,window_end_idx,time_start_s,time_end_s,pulse_duration_s,current_mean_a,current_abs_mean_a,soc_test,soc_group_id
26,38276,38377,38268,38402,37952.98099,37962.986,10.005010000000766,-1.4489354455445547,1.4489354455445547,1.0,6
27,40119,40220,40111,40245,39163.013,39173.028,10.014999999999418,-2.899154851485148,2.899154851485148,1.0,6
28,41962,42063,41954,42088,40373.04999,40383.06,10.010009999998147,-5.799697722772277,5.799697722772277,1.0,6
29,43805,43906,43797,43931,41583.07499,41593.092,10.017009999995935,-11.599622772277227,11.599622772277227,1.0,6
30,45648,45749,45640,45774,42793.111,42804.023,10.9120000000039,-17.39941138613861,17.39941138613861,1.0,6
31,45911,46012,45903,46037,45421.772,45431.799,10.027000000001863,-1.4490976237623765,1.4490976237623765,1.0,7
32,47754,47855,47746,47880,46631.829,46641.841,10.012000000002445,-2.8993981188118805,2.8993981188118805,1.0,7
33,49597,49698,49589,49723,47841.859,47851.867,10.00800000000163,-5.79971415841584,5.79971415841584,1.0,7
34,51440,51541,51432,51566,49051.899,49061.90599,10.006990000001679,-11.599622673267325,11.599622673267325,1.0,7
35,53283,53384,53275,53409,50261.938,50272.845,10.906999999999243,-17.399378712871282,17.399378712871282,1.0,7
36,53546,53647,53538,53672,52892.475,52902.49,10.014999999999418,-1.449040594059406,1.449040594059406,1.0,8
37,55389,55490,55381,55515,54102.524,54112.528,10.004000000000815,-2.8993171287128714,2.8993171287128714,1.0,8
38,57232,57333,57224,57358,55312.548,55322.56,10.011999999995169,-5.7998104950495035,5.7998104950495035,1.0,8
39,59075,59176,59067,59201,56522.586,56532.597,10.010999999998603,-11.59981514851485,11.59981514851485,1.0,8
40,60918,61019,60910,61044,57732.615,57743.53,10.915000000000873,-17.39935455445544,17.39935455445544,1.0,8
41,61181,61282,61173,61307,60361.087,60371.098,10.010999999998603,-1.4490161386138616,1.4490161386138616,1.0,9
42,63024,63125,63016,63150,61571.119,61581.129,10.010000000002037,-2.8992358415841575,2.8992358415841575,1.0,9
43,64867,64968,64859,64993,62781.161,62791.167,10.006000000001222,-5.79978603960396,5.79978603960396,1.0,9
44,66710,66811,66702,66836,63991.196,64001.212,10.015999999995984,-11.599686831683165,11.599686831683165,1.0,9
45,68553,68654,68545,68679,65201.24,65212.15,10.910000000003492,-17.399378910891084,17.399378910891084,1.0,9
46,68816,68917,68808,68942,67231.07999,67241.085,10.005010000008042,-1.448992079207921,1.448992079207921,1.0,10
47,70659,70760,70651,70785,68441.114,68451.125,10.010999999998603,-2.899300891089108,2.899300891089108,1.0,10
48,72502,72603,72494,72628,69651.146,69661.156,10.010000000009313,-5.7996978217821775,5.7996978217821775,1.0,10
49,74345,74446,74337,74471,70861.179,70871.203,10.023999999990338,-11.599614653465343,11.599614653465343,1.0,10
50,76188,76289,76180,76314,72071.224,72082.12999,10.905989999999292,-17.399240891089104,17.399240891089104,1.0,10
51,76451,76552,76443,76577,74099.074,74109.081,10.00700000001234,-1.4491544554455444,1.4491544554455444,1.0,11
52,78294,78395,78286,78420,75309.106,75319.116,10.009999999994761,-2.899325148514851,2.899325148514851,1.0,11
53,80137,80238,80129,80263,76519.137,76529.148,10.010999999998603,-5.799698019801979,5.799698019801979,1.0,11
54,81980,82081,81972,82106,77729.16999,77739.183,10.013010000009672,-11.599598613861383,11.599598613861383,1.0,11
55,83823,83924,83815,83949,78939.21399,78950.115,10.901010000001406,-17.399403267326726,17.399403267326726,1.0,11
56,84086,84187,84078,84212,80966.98,80976.989,10.009000000005472,-1.4491300990099012,1.4491300990099012,1.0,12
57,85929,86030,85921,86055,82177.017,82187.033,10.015999999988708,-2.8993333663366325,2.8993333663366325,1.0,12
58,87772,87873,87764,87898,83387.054,83397.06399,10.009989999991376,-5.799617722772276,5.799617722772276,1.0,12
59,89615,89716,89607,89741,84597.094,84607.106,10.012000000002445,-11.599566534653462,11.599566534653462,1.0,12
60,93311,93412,93303,93437,89151.985,89162.007,10.021999999997206,-1.448983861386139,1.448983861386139,1.0,12
61,95154,95255,95146,95280,90362.03,90372.052,10.021999999997206,-2.8992358415841584,2.8992358415841584,1.0,13
62,96997,97098,96989,97123,91572.078,91582.092,10.014000000010128,-5.799721881188118,5.799721881188118,1.0,13
63,98840,98856,98832,98881,92782.115,92784.594,2.4789999999920838,-11.5995225,11.5995225,1.0,13
64,99018,99119,99010,99144,95115.966,95125.98099,10.014989999996033,-1.449162178217822,1.449162178217822,1.0,13
65,100861,100962,100853,100987,96326.006,96336.02499,10.0189900000114,-2.8992846534653456,2.8992846534653456,1.0,13
66,102704,102739,102696,102764,97536.06,97540.401,4.341000000000349,-5.8005194285714285,5.8005194285714285,1.0,14
